bin	rank	record_index	model_index	status	fape	lddt	rmsd	kabsch	prmsd	plddt	plddt_pde	placer_csv	placer_multimodel_pdb	placer_crop_model_pdb
90	1	1	1	PLACER_OUTPUT_SPLIT	1.4395090341567993	0.9335724711418152	4.895803928375244	1.1420533657073975	4.392898082733154	0.5877777934074402	0.6096510887145996	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin90_rank1_rec1_model_001/placer_crop_model.pdb
90	1	1	2	PLACER_OUTPUT_SPLIT	1.539116382598877	0.9250745177268982	9.761070251464844	1.3436167240142822	4.484145164489746	0.5655555725097656	0.7390300035476685	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin90_rank1_rec1_model_002/placer_crop_model.pdb
90	1	1	3	PLACER_OUTPUT_SPLIT	1.5097604990005493	0.9262624979019165	7.1709113121032715	1.0513575077056885	4.795466899871826	0.5155555605888367	0.6355454921722412	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin90_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin90_rank1_rec1_model_003/placer_crop_model.pdb
80	1	2	1	PLACER_OUTPUT_SPLIT	1.573481559753418	0.9324873089790344	9.467095375061035	1.0255866050720215	4.1999592781066895	0.597777783870697	0.6562097072601318	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin80_rank1_rec2_model_001/placer_crop_model.pdb
80	1	2	2	PLACER_OUTPUT_SPLIT	1.5764960050582886	0.9310070872306824	8.021255493164062	1.3323259353637695	4.8820013999938965	0.5566666722297668	0.5976210236549377	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin80_rank1_rec2_model_002/placer_crop_model.pdb
80	1	2	3	PLACER_OUTPUT_SPLIT	1.6609718799591064	0.9216055870056152	7.4240803718566895	0.9585330486297607	4.967278957366943	0.5166666507720947	0.5511850118637085	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin80_rank1_rec2_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin80_rank1_rec2_model_003/placer_crop_model.pdb
70	1	1	1	PLACER_OUTPUT_SPLIT	1.6229785680770874	0.9275603294372559	10.361551284790039	1.4013160467147827	4.062509059906006	0.5955555438995361	0.7763975262641907	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin70_rank1_rec1_model_001/placer_crop_model.pdb
70	1	1	2	PLACER_OUTPUT_SPLIT	1.6659375429153442	0.9290225505828857	10.056894302368164	1.1704596281051636	4.481908798217773	0.5777777433395386	0.6203046441078186	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin70_rank1_rec1_model_002/placer_crop_model.pdb
70	1	1	3	PLACER_OUTPUT_SPLIT	1.5318512916564941	0.9363657236099243	3.7556023597717285	1.1182048320770264	4.8514251708984375	0.5522222518920898	0.5878720879554749	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin70_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin70_rank1_rec1_model_003/placer_crop_model.pdb
60	1	1	1	PLACER_OUTPUT_SPLIT	1.5750058889389038	0.9316759705543518	9.888708114624023	0.9103826880455017	3.0779075622558594	0.6877777576446533	0.8310061693191528	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin60_rank1_rec1_model_001/placer_crop_model.pdb
60	1	1	2	PLACER_OUTPUT_SPLIT	1.510993480682373	0.930837869644165	6.1080451011657715	0.970889687538147	4.346745491027832	0.5855554938316345	0.5739006400108337	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin60_rank1_rec1_model_002/placer_crop_model.pdb
60	1	1	3	PLACER_OUTPUT_SPLIT	1.480613112449646	0.9280319213867188	6.175472259521484	1.096955418586731	4.851146221160889	0.5555555820465088	0.557575523853302	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3.csv	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/outputs/bin60_rank1_rec1_phase1pilot_n3_model.pdb	/Dell/Dell14/bianht/project01_similarity_phase1_20260630/placer_pilot_rank1_20260630_0148/split_models/bin60_rank1_rec1_model_003/placer_crop_model.pdb
